fixture_id,season,date,competition_id,A_home_global,A_home_causal,diff_A_home,D_home_global,D_home_causal,diff_D_home,A_away_global,A_away_causal,diff_A_away,D_away_global,D_away_causal,diff_D_away,max_abs_feature_difference,leakage_detected
210569,2020/2021,2020-08-21T17:00:00.000000Z,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
210659,2020/2021,2020-11-07T20:00:00.000000Z,200,0.20113470071724138,0.20066075758801188,0.000474,0.17466956762085123,0.1729720887139553,0.001697,0.08063980520643335,0.08296455585536994,-0.002325,0.022983455587634132,0.023473478917635633,-0.00049,0.002325,False
152180,2020/2021,2020-12-30T20:30:00.000000Z,419,-0.10585806777679671,-0.10384760851106234,-0.00201,0.01799748874228099,0.017932761071913658,6.5e-05,0.12183751193992243,0.12245471748899689,-0.000617,0.1143540704529127,0.1129576337225227,0.001396,0.00201,False
172005,2020/2021,2021-02-14T14:00:00.000000Z,200,-0.053707521281057304,-0.051795848530712785,-0.001912,0.14147932671640714,0.1413784294725731,0.000101,-0.16386650491800447,-0.16312579650448647,-0.000741,-0.035040355448885625,-0.035432083743949586,0.000392,0.001912,False
205660,2020/2021,2021-04-11T13:00:00.000000Z,200,-0.012839289609714217,-0.012754801403743344,-8.4e-05,0.013774904853966732,0.010645589593714793,0.003129,-0.08952442838345456,-0.08825642541150355,-0.001268,0.10542680746174754,0.10427819165003598,0.001149,0.003129,False
245374,2020/2021,2021-05-23T19:00:00.000000Z,200,-0.03955075005409822,-0.03834900368381362,-0.001202,-0.03908572527500113,-0.04101950227330482,0.001934,-0.006545073605602114,-0.004477344830157659,-0.002068,-0.17237838639617903,-0.1735398061881599,0.001161,0.002068,False
273393,2021/2022,2021-08-06T19:00:00.000000Z,200,0.2758372800111764,0.2758388569164422,-2e-06,0.1854408908265331,0.18426405115083277,0.001177,-0.03551034959145041,-0.03427839146907442,-0.001232,0.004105946954735743,0.003692857022874174,0.000413,0.001232,False
312764,2021/2022,2021-10-03T16:30:00.000000Z,419,0.09839072332393874,0.09809097747286306,0.0003,0.1862762019153108,0.18274050875827497,0.003536,0.019668829895049478,0.021790272419395258,-0.002121,0.09298477590951741,0.09254463109598132,0.00044,0.003536,False
353128,2021/2022,2021-12-04T17:30:00.000000Z,419,0.23496393234507587,0.23443097875006796,0.000533,0.3203265320718949,0.31937980299090046,0.000947,-0.09683991561244942,-0.09552752137915352,-0.001312,-0.03931215111643612,-0.039845823139498734,0.000534,0.001312,False
379265,2021/2022,2022-02-07T20:00:00.000000Z,419,-0.16311617083760685,-0.16349748356173724,0.000381,0.2948568001258075,0.29244107412361714,0.002416,-0.034968534301754034,-0.03440285580347042,-0.000566,-0.03360039948351447,-0.03384815761238588,0.000248,0.002416,False
2556105,2021/2022,2022-04-09T12:00:00.000000Z,419,-0.31032922016756065,-0.30975682175650293,-0.000572,0.016429364223428777,0.014674922542465031,0.001754,0.20424656472160152,0.2076852835919753,-0.003439,0.09553830901821724,0.09589848509620474,-0.00036,0.003439,False
6316631,2021/2022,2022-05-22T20:00:00.000000Z,419,0.36362175321464413,0.3636699135389566,-4.8e-05,0.26724249036007525,0.26395591963454457,0.003287,0.22260989268709389,0.22385625033375148,-0.001246,0.1885946680089247,0.18859941556821455,-5e-06,0.003287,False
9922008,2022/2023,2022-08-05T18:30:00.000000Z,477,0.033870058146974,0.03487494740437979,-0.001005,0.019563938011887057,0.019103724876000074,0.00046,0.6023115993786801,0.6029529458564372,-0.000641,0.1882753140532657,0.18765585777346017,0.000619,0.001005,False
15350692,2022/2023,2022-10-02T10:30:00.000000Z,499,0.33700550227932724,0.33823900501226745,-0.001234,0.09480689420420953,0.09504656093128887,-0.00024,-0.15418204958797252,-0.15237032698472278,-0.001812,-0.14835781506924292,-0.1487377664617076,0.00038,0.001812,False
22994127,2022/2023,2022-12-28T14:00:00.000000Z,200,-0.0897651649328699,-0.09008956390856242,0.000324,-0.014807604421429754,-0.015583110986606304,0.000776,-0.21650165899975302,-0.21530669010943077,-0.001195,-0.18063443697394152,-0.1808069003353765,0.000172,0.001195,False
26196552,2022/2023,2023-02-19T14:00:00.000000Z,499,-0.07437244270316463,-0.07352146902262277,-0.000851,0.08743048695761416,0.08714368072648333,0.000287,-0.12939996163493198,-0.12865263210239067,-0.000747,-0.002793381056953894,-0.004131417484324485,0.001338,0.001338,False
32208511,2022/2023,2023-04-21T19:00:00.000000Z,200,-0.36199578295872387,-0.3609017893683745,-0.001094,-0.24266435455162425,-0.2429913484682277,0.000327,0.5404561006950314,0.5423416036109623,-0.001886,0.36286358335749785,0.3624821562465613,0.000381,0.001886,False
37328448,2022/2023,2023-06-04T19:00:00.000000Z,419,0.01381780577161527,0.013715655922509264,0.000102,-0.22256126953082023,-0.2236183656574983,0.001057,0.008349745779852626,0.009354816119410185,-0.001005,-0.1300479918542753,-0.13058857710975325,0.000541,0.001057,False
38160876,2022/2023,2023-06-11T18:45:00.000000Z,499,-0.2946536642701883,-0.2939589290653967,-0.000695,-0.12814035729073245,-0.12866179786467014,0.000521,-0.20387892390539128,-0.203237616024183,-0.000641,-0.02548816041812914,-0.026691935730776772,0.001204,0.001204,False
45213851,2023/2024,2023-08-11T17:30:00.000000Z,419,0.03625166102435842,0.03815626353504662,-0.001905,-0.15460144363578884,-0.15662833950037902,0.002027,-0.12910696495698415,-0.12643842567159574,-0.002669,-0.05882819757915628,-0.061543062972901366,0.002715,0.002715,False
61374410,2023/2024,2023-10-07T14:00:00.000000Z,423,-0.27293938576401144,-0.26980893216085544,-0.00313,-0.07192989492869087,-0.07503692602587879,0.003107,-0.2085165770888585,-0.20654728862073443,-0.001969,-0.15076539862593838,-0.1531107402183925,0.002345,0.00313,False
83382239,2023/2024,2023-12-09T17:30:00.000000Z,477,0.5017361931266048,0.504753334650108,-0.003017,0.07729455201734912,0.07431655036744135,0.002978,0.34588647970884423,0.3490022601859968,-0.003116,0.3053759482782269,0.30236823716870814,0.003008,0.003116,False
99654870,2023/2024,2024-02-10T14:00:00.000000Z,499,-0.30573675995341304,-0.30266409461260474,-0.003073,-0.16896249498229932,-0.17195855875994442,0.002996,0.08230339360349362,0.08545311783938143,-0.00315,0.3341589792619795,0.3311453676716879,0.003014,0.00315,False
117384003,2023/2024,2024-04-06T14:00:00.000000Z,423,0.05167774657250504,0.05339532380282369,-0.001718,-0.16912059143305477,-0.17104496996268903,0.001924,-0.011730512887962357,-0.009316243412693511,-0.002414,-0.11322402335750198,-0.11597982242315202,0.002756,0.002756,False
139241043,2023/2024,2024-05-26T19:00:00.000000Z,419,-0.01141013896748442,-0.008293463797670281,-0.003117,0.07501582272596649,0.07208293718945546,0.002933,0.4549698650469097,0.45804181589015486,-0.003072,0.33519894387731874,0.3322038993498727,0.002995,0.003117,False
110164297,2023/2024,2024-06-02T16:00:00.000000Z,499,0.4148552120067939,0.41798719181607386,-0.003132,0.2287699793090766,0.2257960785275251,0.002974,0.19024094810226347,0.19331875922451083,-0.003078,0.18496508008058474,0.18192499103904428,0.00304,0.003132,False
152781770,2024/2025,2024-08-15T17:00:00.000000Z,419,0.08019947022754523,0.07918598981208284,0.001013,0.3079440638601676,0.3090398565062849,-0.001096,-0.27559359141072914,-0.27664933673508457,0.001056,0.06324170379469801,0.06421536699102294,-0.000974,0.001096,False
174190777,2024/2025,2024-10-19T11:30:00.000000Z,423,0.3500987722676115,0.34929215871116903,0.000807,0.029414188190822577,0.030507361922701284,-0.001093,0.0973672505403434,0.09616991488721793,0.001197,-0.12781477315617812,-0.12693417647172,-0.000881,0.001197,False
197601627,2024/2025,2024-12-13T19:45:00.000000Z,499,-0.28733951458302875,-0.2882222332079703,0.000883,0.1828751332558923,0.18396648745520944,-0.001091,-0.18988420605758538,-0.19095402766020825,0.00107,0.30828737382244764,0.3093619463839239,-0.001075,0.001091,False
219541635,2024/2025,2025-02-07T19:45:00.000000Z,499,-0.009847600116565016,-0.010351688233436556,0.000504,-0.016035974715476554,-0.015502434928897963,-0.000534,0.2206546979264479,0.21935782357370034,0.001297,0.47956660034331083,0.4806257836836626,-0.001059,0.001297,False
236947013,2024/2025,2025-04-06T12:00:00.000000Z,419,-0.180271812159263,-0.18104002894721463,0.000768,-0.01986877946818233,-0.018871792216696742,-0.000997,-0.15673617981970073,-0.15791591002890087,0.00118,0.29631318910891535,0.2973369186269114,-0.001024,0.00118,False
256864458,2024/2025,2025-05-25T18:45:00.000000Z,499,-0.20284749322585743,-0.20393405111232465,0.001087,0.305272876260722,0.30637408614760897,-0.001101,0.19124457110000448,0.19014403300548544,0.001101,0.3814454808638072,0.38245327547912483,-0.001008,0.001101,False
250518560,2024/2025,2025-05-25T19:00:00.000000Z,419,0.0949042120526749,0.09392983048807106,0.000974,0.5200802596447811,0.5212814495131239,-0.001201,0.6303292596455058,0.6289810805554986,0.001348,0.2960072926916053,0.29694660943533296,-0.000939,0.001348,False
343465962,2025/2026,2025-08-15T17:00:00.000000Z,419,0.06222090920044293,0.06074779497622659,0.001473,-0.06619135011692609,-0.06470878180567324,-0.001483,-0.2484748580397932,-0.24989063480848436,0.001416,0.16244082132425852,0.1638586761133328,-0.001418,0.001483,False
