fixture_id,competition,season,home_team,away_team,scheduled_kickoff,prediction_timestamp,v4_home_prob,v4_draw_prob,v4_away_prob,v4_decision,shadow_home_prob,shadow_draw_prob,shadow_away_prob,shadow_decision,draw_probability_delta,home_probability_delta,away_probability_delta,decision_changed,model_version,calibrator_version,status
420592585,Bundesliga,2025/2026,FC Union Berlin,Eintracht Frankfurt,2026-08-29T13:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.371,0.272,0.357,H,0.3515,0.3102,0.3383,H,0.0382,-0.0195,-0.0187,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592601,Premier League,2025/2026,Coventry City,Hull City,2026-08-29T14:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.422,0.257,0.321,H,0.4005,0.2949,0.3046,H,0.0379,-0.0215,-0.0164,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592602,Premier League,2025/2026,AFC Bournemouth,Everton,2026-08-29T14:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.517,0.231,0.252,H,0.4921,0.268,0.2399,H,0.037,-0.0249,-0.0121,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592841,La Liga,2025/2026,Levante,Real Betis,2026-08-29T15:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.416,0.262,0.322,H,0.3946,0.3,0.3054,H,0.038,-0.0214,-0.0166,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592903,Ligue 1,2025/2026,Strasbourg,Lens,2026-08-29T15:15:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.316,0.261,0.423,A,0.2998,0.299,0.4013,A,0.038,-0.0162,-0.0217,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592938,Serie A,2025/2026,Sassuolo,Torino,2026-08-29T16:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.401,0.267,0.332,H,0.3801,0.3051,0.3147,H,0.0381,-0.0209,-0.0173,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592939,Serie A,2025/2026,Monza,Udinese,2026-08-29T16:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.293,0.26,0.447,A,0.278,0.298,0.4241,A,0.038,-0.015,-0.0229,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592940,Serie A,2025/2026,Fiorentina,Frosinone,2026-08-29T16:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.443,0.241,0.316,H,0.4212,0.2784,0.3004,H,0.0374,-0.0218,-0.0156,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592941,Premier League,2025/2026,Tottenham Hotspur,Newcastle United,2026-08-29T16:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.414,0.269,0.317,H,0.3924,0.3072,0.3005,H,0.0382,-0.0216,-0.0165,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592944,Bundesliga,2025/2026,Borussia Dortmund,Hamburger SV,2026-08-29T16:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.627,0.183,0.19,H,0.6006,0.2174,0.182,H,0.0344,-0.0264,-0.008,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592952,La Liga,2025/2026,Real Sociedad,Espanyol,2026-08-29T17:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.463,0.242,0.295,H,0.4401,0.2794,0.2804,H,0.0374,-0.0229,-0.0146,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592997,Ligue 1,2025/2026,Lorient,Troyes,2026-08-29T18:45:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.619,0.195,0.186,H,0.592,0.2302,0.1779,H,0.0352,-0.027,-0.0081,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592999,Ligue 1,2025/2026,Auxerre,Angers SCO,2026-08-29T18:45:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.525,0.245,0.23,H,0.4989,0.2825,0.2186,H,0.0375,-0.0261,-0.0114,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592998,Ligue 1,2025/2026,Brest,Toulouse,2026-08-29T18:45:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.397,0.262,0.341,H,0.3766,0.3,0.3234,H,0.038,-0.0204,-0.0176,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592995,Serie A,2025/2026,Juventus,Parma,2026-08-29T18:45:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.674,0.175,0.152,H,0.6458,0.2086,0.1456,H,0.0337,-0.0275,-0.0062,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420592996,Ligue 1,2025/2026,Olympique Lyonnais,Le Havre,2026-08-29T18:45:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.559,0.207,0.233,H,0.5342,0.2431,0.2227,H,0.0359,-0.0253,-0.0106,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593006,La Liga,2025/2026,Sevilla,Atlético de Madrid,2026-08-29T19:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.372,0.264,0.365,H,0.3524,0.3018,0.3458,H,0.038,-0.0192,-0.0188,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593587,Premier League,2025/2026,Chelsea,Brighton & Hove Albion,2026-08-30T13:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.356,0.26,0.384,A,0.3377,0.298,0.3643,A,0.038,-0.0183,-0.0197,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593586,Premier League,2025/2026,Leeds United,Brentford,2026-08-30T13:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.444,0.26,0.296,H,0.4212,0.298,0.2808,H,0.038,-0.0228,-0.0152,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593585,Premier League,2025/2026,Sunderland,Fulham,2026-08-30T13:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.4,0.27,0.33,H,0.3791,0.3082,0.3127,H,0.0382,-0.0209,-0.0173,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593584,Ligue 1,2025/2026,Paris,Nice,2026-08-30T13:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.494,0.252,0.254,H,0.4691,0.2897,0.2412,H,0.0377,-0.0249,-0.0128,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593696,Bundesliga,2025/2026,SC Freiburg,Werder Bremen,2026-08-30T13:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.485,0.24,0.275,H,0.4612,0.2774,0.2615,H,0.0374,-0.0238,-0.0135,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593770,La Liga,2025/2026,Real Madrid,Málaga,2026-08-30T15:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.628,0.18,0.192,H,0.6019,0.2141,0.184,H,0.0341,-0.0261,-0.008,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593778,Ligue 1,2025/2026,Rennes,Le Mans,2026-08-30T15:15:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.553,0.207,0.239,H,0.5285,0.2431,0.2284,H,0.0359,-0.0251,-0.0108,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593779,Premier League,2025/2026,Manchester United,Ipswich Town,2026-08-30T15:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.659,0.168,0.173,H,0.6327,0.2012,0.1661,H,0.0332,-0.0263,-0.0069,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593780,Bundesliga,2025/2026,FC Augsburg,Schalke 04,2026-08-30T15:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.506,0.221,0.273,H,0.4822,0.2576,0.2602,H,0.0366,-0.0238,-0.0128,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593795,Serie A,2025/2026,Napoli,Como,2026-08-30T16:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.401,0.265,0.333,H,0.3806,0.3033,0.3161,H,0.0381,-0.0208,-0.0173,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593808,La Liga,2025/2026,Deportivo A Coruña,Valencia,2026-08-30T17:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.41,0.268,0.322,H,0.3886,0.3061,0.3052,H,0.0381,-0.0214,-0.0168,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593827,Serie A,2025/2026,Lazio,Genoa,2026-08-30T18:45:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.482,0.251,0.267,H,0.4577,0.2887,0.2536,H,0.0377,-0.0243,-0.0134,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593829,Ligue 1,2025/2026,Monaco,Olympique Marseille,2026-08-30T18:45:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.429,0.244,0.327,H,0.4077,0.2815,0.3108,H,0.0375,-0.0213,-0.0162,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593828,Serie A,2025/2026,Cagliari,Inter,2026-08-30T18:45:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.246,0.214,0.539,A,0.2349,0.2505,0.5146,A,0.0363,-0.0114,-0.0249,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420593832,La Liga,2025/2026,Celta de Vigo,Athletic Club,2026-08-30T19:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.367,0.266,0.367,A,0.348,0.3041,0.348,H,0.0381,-0.019,-0.019,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420599457,Serie A,2025/2026,Lecce,Roma,2026-08-31T16:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.23,0.241,0.529,A,0.2187,0.2784,0.5029,A,0.0374,-0.0113,-0.0261,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420599461,La Liga,2025/2026,Osasuna,Getafe,2026-08-31T17:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.446,0.271,0.284,H,0.4222,0.3089,0.2689,H,0.0382,-0.0233,-0.0149,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
