metric,expected,actual,status
Prospective Missed Draws Audited,8,8,PASS
Missed Draws Flagged MEDIUM or HIGH,7,7,PASS
MEDIUM Missed Draws,5,5,PASS
HIGH Missed Draws,2,2,PASS
LOW Missed Draws,1,1,PASS
