high_threshold,critical_threshold,low_tier_v4_acc,low_tier_draw_rate,high_tier_count,high_tier_draw_rate,high_tier_v4_acc,critical_tier_count,critical_tier_draw_rate,critical_tier_v4_acc
0.55,0.75,60.3860118478884,23.046053888782726,1804,28.824833702882486,40.188470066518846,718,31.197771587743734,39.136490250696376
0.55,0.8,60.3860118478884,23.046053888782726,2132,28.79924953095685,40.80675422138837,390,33.33333333333333,34.87179487179487
0.55,0.85,60.3860118478884,23.046053888782726,2377,29.44888514934792,40.13462347496844,145,30.344827586206897,35.86206896551724
0.6,0.75,60.3860118478884,23.046053888782726,1338,29.297458893871447,40.732436472346784,718,31.197771587743734,39.136490250696376
0.6,0.8,60.3860118478884,23.046053888782726,1666,29.17166866746699,41.416566626650656,390,33.33333333333333,34.87179487179487
0.6,0.85,60.3860118478884,23.046053888782726,1911,29.931972789115648,40.50235478806907,145,30.344827586206897,35.86206896551724
0.65,0.75,60.3860118478884,23.046053888782726,875,29.37142857142857,41.25714285714286,718,31.197771587743734,39.136490250696376
0.65,0.8,60.3860118478884,23.046053888782726,1203,29.177057356608476,42.061512884455524,390,33.33333333333333,34.87179487179487
0.65,0.85,60.3860118478884,23.046053888782726,1448,30.17955801104972,40.74585635359116,145,30.344827586206897,35.86206896551724
0.7,0.75,60.3860118478884,23.046053888782726,442,29.411764705882355,40.497737556561084,718,31.197771587743734,39.136490250696376
0.7,0.8,60.3860118478884,23.046053888782726,770,29.09090909090909,42.077922077922075,390,33.33333333333333,34.87179487179487
0.7,0.85,60.3860118478884,23.046053888782726,1015,30.541871921182267,40.19704433497537,145,30.344827586206897,35.86206896551724
0.75,0.8,60.3860118478884,23.046053888782726,328,28.65853658536585,44.207317073170735,390,33.33333333333333,34.87179487179487
0.75,0.85,60.3860118478884,23.046053888782726,573,31.413612565445025,39.9650959860384,145,30.344827586206897,35.86206896551724
