candidate,metric,mean_difference,ci_95_lower,ci_95_upper,statistically_significant,verdict
G2 (Low-Score Corrected Dixon-Coles),Home Goal MAE,-0.0031,-0.0047,-0.0017,YES,STATISTICALLY ESTABLISHED (Reduction)
G2 (Low-Score Corrected Dixon-Coles),Away Goal MAE,-0.0045,-0.0058,-0.0033,YES,STATISTICALLY ESTABLISHED (Reduction)
G2 (Low-Score Corrected Dixon-Coles),Total Goal MAE,-0.0012,-0.0037,0.0013,NO,NOT STATISTICALLY ESTABLISHED (95% CI spans 0)
