dataset,n_matches,n_actual_h,n_actual_d,n_actual_a,actual_draw_rate,v4_correct,v4_accuracy,v4_h_pred,v4_h_corr,v4_a_pred,v4_a_corr,v4_d_pred,v4_d_corr,v4_d_recall,v4_d_precision,v4_d_f1,v4_d_brier,v4_d_logloss,v4_d_ece,v4_mc_logloss,v4_mean_p_d,enh_correct,enh_accuracy,enh_h_pred,enh_h_corr,enh_a_pred,enh_a_corr,enh_d_pred,enh_d_corr,enh_d_recall,enh_d_precision,enh_d_f1,enh_d_brier,enh_d_logloss,enh_d_ece,enh_mc_logloss,enh_mean_p_d,decisions_changed,pct_changed,h_to_d,a_to_d,d_to_h,d_to_a,rescued_draws,damaged_wins,net_accuracy_delta
Recent Prospective Sample (Aug 22–24),33,13,8,12,0.24242424242424243,20,60.60606060606061,18,11,15,9,0,0,0.0,0.0,0.0,0.17809378787878788,0.5370805882854008,0.04075757575757574,0.9366503396247167,0.24281818181818182,20,60.60606060606061,18,11,15,9,0,0,0.0,0.0,0.0,0.17923558632483252,0.5413710963574913,0.03759309325333919,0.940899828165183,0.27994332345526096,0,0.0,0,0,0,0,0,0,0.0
Untouched Holdout Season (2025/2026),1751,771,445,535,0.2541404911479155,910,51.97030268418047,1116,608,635,302,0,0,0.0,0.0,0.0,0.18787045157085816,0.5626329897730687,0.026051102284440852,0.9921458856280829,0.22858291471107006,908,51.85608223872074,1114,606,634,302,3,0,0.0,0.0,0.0,0.18737022338731021,0.5609093898106121,0.012040536886864382,0.9904222856656263,0.26457835606455615,3,0.17133066818960593,2,1,0,0,0,2,-0.11422044545972909
Historical Training Era (2020/21–2024/25),8983,3835,2281,2867,0.25392407881554047,4740,52.76633641322498,5739,3080,3244,1660,0,0,0.0,0.0,0.0,0.18824434671461138,0.5632678867792108,0.023886704357749592,0.9915878960812496,0.23064127368536155,4737,52.73293999777358,5728,3075,3238,1657,17,5,0.21920210434020165,29.411764705882355,0.4351610095735422,0.1879153921717165,0.562024311743478,0.013448076444432074,0.9903443210455167,0.2668494526393949,17,0.18924635422464656,11,6,0,0,5,8,-0.033396415451399264
Full Combined Historical (6 Seasons),10734,4606,2726,3402,0.25395938140488167,5650,52.636482206074156,6855,3688,3879,1962,0,0,0.0,0.0,0.0,0.18818335450325385,0.5631643182439253,0.024239775046182258,0.9916789189708066,0.23030550076156941,5645,52.589901248369664,6842,3681,3872,1959,20,5,0.18341892883345562,25.0,0.36416605972323385,0.1878264606884395,0.56184243841532,0.012912742606251196,0.9903570391422013,0.2664789765724541,20,0.1863238308179616,13,7,0,0,5,10,-0.04658095770449222
