fixture_id,season_id,y_true,y_pred,p_home,p_draw,p_away
152781768,6435,D,D,0.27676152251201364,0.4979385957404252,0.225299881747561
152781770,6435,D,H,0.3711080767650248,0.33498908701771707,0.2939028362172582
152908782,6435,D,D,0.3524444598561578,0.42967717162709074,0.2178783685167515
152908783,6484,H,H,0.4244680705892671,0.17848870947311943,0.3970432199376135
152908785,6435,H,H,0.4137676912701197,0.2753565251624195,0.3108757835674607
153121348,6526,D,H,0.4184016718286843,0.17109806831081012,0.4105002598605057
153121349,6526,D,H,0.37140191074671364,0.30649342585655925,0.3221046633967271
153121354,6526,D,D,0.29438903393363447,0.4458462243811517,0.25976474168521374
153121355,6526,D,A,0.1810085858854297,0.3935749066171096,0.42541650749746074
153121356,6484,A,H,0.4599619302339715,0.14883072957892687,0.39120734018710157
153121359,6484,H,A,0.39724922012899777,0.06474690056097064,0.5380038793100316
153121360,6484,A,A,0.3828535684865824,0.21132452729649379,0.40582190421692366
153121361,6484,H,H,0.630409723978063,0.05833028274984018,0.3112599932720968
153121362,6484,A,A,0.2769539833781647,0.3532968216449706,0.36974919497686476
153121364,6435,D,D,0.3290051354800772,0.398790324457166,0.27220454006275685
153121365,6484,D,H,0.45496784439946564,0.18680372853890503,0.3582284270616294
153121366,6435,A,D,0.25896635922392947,0.41828437621303427,0.3227492645630363
153121367,6527,H,A,0.43251640616750475,0.06780844275069743,0.4996751510817979
153121371,6527,A,A,0.3049502499087455,0.21111963720246968,0.48393011288878485
153121372,6527,A,A,0.33185242774319934,0.18186893519273586,0.4862786370640647
153121383,6527,A,A,0.23575824016656036,0.23675429517050947,0.5274874646629302
153503374,6526,H,D,0.2751019705679747,0.36631909655029327,0.35857893288173204
153503375,6526,D,H,0.4144772100778682,0.337209577045211,0.24831321287692085
153503376,6484,A,A,0.17613054884585894,0.1791605653690369,0.6447088857851041
153503377,6484,H,D,0.269381922631947,0.41154335245228874,0.3190747249157642
153503379,6435,D,D,0.18382613074395365,0.4915920809938938,0.32458178826215245
153503380,6526,H,H,0.45603958349458257,0.2355436669794282,0.3084167495259893
153503381,6526,D,D,0.2922170046402037,0.49619256947142726,0.211590425888369
153503382,6527,H,A,0.2503452267560227,0.3023779080174676,0.44727686522650956
153503385,6435,A,D,0.2765246450293525,0.4571280706235172,0.26634728434713034
153503389,6527,A,D,0.2911091741590549,0.3963072614875345,0.31258356435341067
153503390,6527,D,A,0.2936733472424295,0.26323141450624116,0.44309523825132935
153503391,6527,D,A,0.29578747841548486,0.29334764741999725,0.410864874164518
153503392,6527,H,D,0.32779248266543815,0.37467402602983585,0.297533491304726
153799321,6435,D,A,0.26828629556523625,0.2561372993862133,0.47557640504855037
153799322,6484,D,D,0.34507456171634193,0.4240569269024251,0.23086851138123302
153799323,6526,H,A,0.28247152351354093,0.32072224340262817,0.39680623308383095
153799333,6526,A,A,0.22712117856883884,0.2993695760016191,0.47350924542954204
153799336,6435,H,H,0.4303153368877775,0.29704190777703243,0.27264275533518995
154591797,6597,A,D,0.1472137289814201,0.46500506585003776,0.38778120516854214
154830973,6597,H,A,0.4037719638290501,0.15573422098778464,0.44049381518316527
154830974,6597,D,H,0.47450372498486054,0.17175025697247268,0.35374601804266675
154830975,6597,H,H,0.4155452434218518,0.2390280951892656,0.34542666138888267
154830976,6597,H,H,0.48997355307353085,0.17676713952950915,0.33325930739695986
154830980,6597,D,H,0.4131201700091095,0.31899277328634645,0.267887056704544
154830984,6597,H,A,0.18647637153641233,0.3921205876539981,0.42140304080958957
155290854,6435,H,H,0.45719929376256974,0.2947548461647696,0.24804586007266058
155290856,6597,A,A,0.25038553710943534,0.30672275313198194,0.44289170975858255
155290863,6435,A,H,0.5237344615572902,0.2416280269865373,0.23463751145617245
155290864,6435,D,A,0.31623269265281784,0.2942306158752687,0.3895366914719135
155290865,6435,H,H,0.4700058730236215,0.21666394595693583,0.31333018101944277
155290866,6435,H,D,0.3228323487557331,0.3427421434981744,0.3344255077460926
155290867,6435,A,D,0.32523970630617904,0.3833612687468393,0.29139902494698167
155290868,6435,H,H,0.5038637450960902,0.29017527922389674,0.20596097568001295
