fixture_id,kickoff,league,home_team,away_team,prediction_timestamp,status,v40_p_home,v40_p_draw,v40_p_away,v40_prediction,candidate_p_home,candidate_p_draw,candidate_p_away,candidate_prediction,v40_expected_home_goals,v40_expected_away_goals,candidate_expected_home_goals,candidate_expected_away_goals,candidate_predicted_home_goals,candidate_predicted_away_goals,candidate_predicted_score,draw_risk_score,draw_risk_tier,actual_home_goals,actual_away_goals,actual_result,v40_correct,candidate_correct
420583743,08:30 PM IST,La Liga,Atlético de Madrid,Villarreal,2026-08-22T00:00:00Z,FT,0.402,0.249,0.348,H,0.4784,0.2667,0.2549,H,1.65,1.05,1.62,1.03,1,1,1-1,0.6382,MEDIUM,2.0,2.0,D,False,False
420583751,08:45 PM IST,Ligue 1,Le Havre,Monaco,2026-08-22T00:00:00Z,FT,0.33,0.265,0.404,A,0.2668,0.2735,0.4597,A,1.1,1.6,1.08,1.57,1,1,1-1,0.5827,MEDIUM,0.0,1.0,A,True,True
420583753,09:00 PM IST,Premier League,Newcastle United,Liverpool,2026-08-22T00:00:00Z,FT,0.353,0.263,0.384,A,0.2714,0.273,0.4556,A,1.1,1.6,1.08,1.57,1,1,1-1,0.7122,HIGH,2.0,2.0,D,False,False
420583777,10:00 PM IST,Serie A,Venezia,Lecce,2026-08-22T00:00:00Z,FT,0.4,0.284,0.316,H,0.4776,0.2742,0.2482,H,1.65,1.05,1.62,1.03,1,1,1-1,0.6244,MEDIUM,0.0,2.0,A,False,False
420583778,10:00 PM IST,Serie A,Frosinone,Juventus,2026-08-22T00:00:00Z,FT,0.284,0.248,0.467,A,0.2577,0.2698,0.4724,A,1.1,1.6,1.08,1.57,1,1,1-1,0.3761,LOW,0.0,1.0,A,True,True
420583789,11:00 PM IST,La Liga,Getafe,Racing Santander,2026-08-22T00:00:00Z,FT,0.389,0.277,0.334,H,0.4755,0.2727,0.2518,H,1.65,1.05,1.62,1.03,1,1,1-1,0.7198,HIGH,1.0,0.0,H,True,True
420583814,12:15 AM IST,Ligue 1,Rennes,Paris Saint Germain,2026-08-22T00:00:00Z,FT,0.343,0.245,0.412,A,0.2695,0.2691,0.4614,A,1.1,1.6,1.08,1.57,1,1,1-1,0.529,MEDIUM,2.0,2.0,D,False,False
420583813,12:15 AM IST,Serie A,Atalanta,Sassuolo,2026-08-22T00:00:00Z,FT,0.554,0.214,0.232,H,0.5092,0.259,0.2318,H,1.65,1.05,1.62,1.03,1,1,1-1,0.1532,LOW,2.0,1.0,H,True,True
420583812,12:15 AM IST,Serie A,Torino,AC Milan,2026-08-22T00:00:00Z,FT,0.361,0.272,0.367,A,0.2729,0.2749,0.4521,A,1.1,1.6,1.08,1.57,1,1,1-1,0.7746,HIGH,1.0,2.0,A,True,True
420583819,01:00 AM IST,La Liga,Elche,FC Barcelona,2026-08-22T00:00:00Z,FT,0.248,0.216,0.536,A,0.2507,0.2627,0.4866,A,1.1,1.6,1.08,1.57,1,1,1-1,0.1593,LOW,0.0,5.0,A,True,True
420587320,2026-08-24T16:30:00.000000Z,Serie A,Bologna,Lazio,2026-08-24T11:51:20.207460+00:00,NS,0.421,0.278,0.3,H,0.4819,0.273,0.2451,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4954,MEDIUM,,,,,
