category,mean_v4_p_D,mean_candidate_p_D,draw_prob_delta,draw_predicted_as_highest_v4,draw_predicted_as_highest_candidate,medium_high_risk_flagged
Actual Draws (N=8),0.2568,0.27,0.0133,0,0,7
Actual Non-Draws (N=25),0.2384,0.2657,0.0274,0,0,13
