model,completed_matches,accuracy_pct,log_loss,brier_score,home_f1_pct,draw_f1_pct,away_f1_pct,mean_ece
V4.0 Production Baseline,33,60.61,0.9365,0.5497,70.97,0.0,66.67,0.1116
Joint Coherent Candidate (Step 3B),33,60.61,0.9585,0.5667,70.97,0.0,66.67,0.098
