fixture_id,date,league,home_team,away_team,score,actual_outcome,v4_p_H,v4_p_D,v4_p_A,v4_decision,cal_p_H,cal_p_D,cal_p_A,cal_decision,v4_win_to_draw_margin,cal_win_to_draw_margin,cal_win_diff,is_actual_draw
420581351,2026-08-22,Ligue 1,Olympique Marseille,Strasbourg,4-0,H,0.509,0.232,0.259,H,0.4844364737989185,0.2690624521069362,0.2465010740941451,H,0.277,0.21537402169198233,0.23793539970477343,False
420581362,2026-08-22,Premier League,Arsenal,Coventry City,3-0,H,0.62,0.184,0.196,H,0.5938452879672669,0.2184229758366294,0.1877317361961037,H,0.436,0.3754223121306375,0.40611355177116315,False
420581363,2026-08-22,La Liga,Real Betis,Real Sociedad,1-0,H,0.543,0.222,0.236,H,0.516929125043529,0.2584018629670184,0.2246690119894527,H,0.32100000000000006,0.25852726207651056,0.2922601130540763,False
420581845,2026-08-22,Premier League,Hull City,Manchester United,2-0,H,0.342,0.262,0.396,A,0.3243884125845206,0.3000039517912976,0.3756076356241818,A,0.134,0.07560368383288424,0.0512192230396612,False
420582048,2026-08-22,Premier League,Nottingham Forest,Leeds United,0-1,A,0.454,0.245,0.301,H,0.4314311049525839,0.2825319730414078,0.2860369220060082,H,0.20900000000000002,0.1488991319111761,0.1453941829465757,False
420582049,2026-08-22,Premier League,Ipswich Town,Sunderland,2-1,H,0.316,0.271,0.413,A,0.2994449834701684,0.3091917944628077,0.3913632220670238,A,0.14199999999999996,0.08217142760421609,0.09191823859685538,False
420582050,2026-08-22,Premier League,Everton,Crystal Palace,2-0,H,0.44,0.258,0.303,H,0.417116080607109,0.2956426184293592,0.2872413009635318,H,0.182,0.12147346217774979,0.1298747796435772,False
420582189,2026-08-22,La Liga,Athletic Club,Sevilla,1-3,A,0.455,0.252,0.293,H,0.432039948770388,0.2897453149884611,0.2782147362411509,H,0.203,0.14229463378192686,0.1538252125292371,False
420582220,2026-08-22,Ligue 1,Lens,Auxerre,5-2,H,0.61,0.195,0.195,H,0.583354853826357,0.2301628568357092,0.1864822893379338,H,0.415,0.3531919969906478,0.39687256448842323,False
420582255,2026-08-22,Serie A,Inter,Monza,4-1,H,0.789,0.108,0.103,H,0.7654559468613912,0.1346176114063866,0.0999264417322221,H,0.681,0.6308383354550046,0.6655295051291691,False
420582256,2026-08-22,Premier League,Brentford,Tottenham Hotspur,3-0,H,0.422,0.243,0.335,H,0.4011140579646557,0.2804660145041601,0.3184199275311841,H,0.179,0.12064804346049562,0.08269413043347162,False
420582254,2026-08-22,Serie A,Udinese,Como,1-1,D,0.292,0.275,0.432,A,0.2768588285606805,0.3135418086372167,0.4095993628021027,A,0.15699999999999997,0.09605755416488598,0.13274053424142218,True
420582269,2026-08-22,La Liga,Valencia,Celta de Vigo,0-0,D,0.464,0.264,0.272,H,0.4400123859743481,0.3020493187993099,0.257938295226342,H,0.2,0.1379630671750382,0.18207409074800612,True
420582305,2026-08-23,Ligue 1,Nice,Lorient,0-0,D,0.393,0.265,0.341,H,0.3730061476527995,0.3033422076917179,0.3236516446554826,H,0.128,0.06966393996108161,0.04935450299731692,True
420582304,2026-08-23,Ligue 1,Toulouse,Olympique Lyonnais,0-2,A,0.338,0.267,0.395,A,0.3204251678939776,0.3051134672595101,0.3744613648465122,A,0.128,0.0693478975870021,0.05403619695253459,False
420582303,2026-08-23,Ligue 1,Troyes,Paris,0-0,D,0.226,0.233,0.541,A,0.2150677179075002,0.2701020370130413,0.5148302450794585,A,0.30800000000000005,0.2447282080664172,0.2997625271719583,True
420582302,2026-08-23,Serie A,Genoa,Napoli,0-2,A,0.277,0.263,0.46,A,0.2627076656861381,0.3010268967123329,0.4362654376015289,A,0.197,0.135238540889196,0.1735577719153908,False
420582301,2026-08-23,Serie A,Parma,Cagliari,0-1,A,0.353,0.274,0.373,A,0.3344041923345983,0.31224520216737,0.3533506054980316,A,0.09899999999999998,0.041105403330661594,0.018946413163433318,False
420582306,2026-08-23,Ligue 1,Le Mans,Brest,2-2,D,0.458,0.26,0.281,H,0.434930780420014,0.2982230420733835,0.2668461775066025,H,0.198,0.13670773834663047,0.16808460291341148,True
420582312,2026-08-23,La Liga,Espanyol,Real Madrid,1-2,A,0.255,0.226,0.518,A,0.2431081793204511,0.2630485387658483,0.4938432819137006,A,0.29200000000000004,0.23079474314785225,0.2507351025932495,False
420583619,2026-08-23,Ligue 1,Angers SCO,LOSC Lille,0-2,A,0.222,0.245,0.533,A,0.2109641085891489,0.2825319730414078,0.5065039183694432,A,0.28800000000000003,0.22397194532803538,0.29553980978029426,False
420583623,2026-08-23,Premier League,Brighton & Hove Albion,Aston Villa,4-0,H,0.481,0.244,0.275,H,0.4571413345427078,0.2814992746064716,0.2613593908508205,H,0.237,0.17564205993623616,0.19578194369188728,False
420583622,2026-08-23,Premier League,Manchester City,AFC Bournemouth,2-1,H,0.607,0.192,0.201,H,0.5807295915827314,0.2269695057679621,0.1923009026493064,H,0.415,0.3537600858147693,0.38842868893342497,False
420583743,2026-08-23,La Liga,Atlético de Madrid,Villarreal,2-2,D,0.402,0.249,0.348,H,0.3822141217960767,0.2869139518729913,0.330871926330932,H,0.15300000000000002,0.09530016992308543,0.051342195465144735,True
420583751,2026-08-23,Ligue 1,Le Havre,Monaco,0-1,A,0.33,0.265,0.404,A,0.3132112690214347,0.3033422076917179,0.3834465232868473,A,0.139,0.08010431559512943,0.0702352542654126,False
420583753,2026-08-23,Premier League,Newcastle United,Liverpool,2-2,D,0.353,0.263,0.384,A,0.3347863032029124,0.3010268967123329,0.3641868000847546,A,0.121,0.06315990337242172,0.02940049688184221,True
420583777,2026-08-23,Serie A,Venezia,Lecce,0-2,A,0.4,0.284,0.316,H,0.3785525953262569,0.322390854366,0.299056550307743,H,0.11600000000000005,0.05616174096025689,0.07949604501851393,False
420583778,2026-08-23,Serie A,Frosinone,Juventus,0-1,A,0.284,0.248,0.467,A,0.2700523914603468,0.285882584553801,0.444065023985852,A,0.21900000000000003,0.15818243943205101,0.1740126325255052,False
420583789,2026-08-23,La Liga,Getafe,Racing Santander,1-0,H,0.389,0.277,0.334,H,0.3683964026183297,0.3152940897350839,0.3163095076465864,H,0.11199999999999999,0.053102312883245795,0.05208689497174329,False
420583814,2026-08-24,Ligue 1,Rennes,Paris Saint Germain,2-2,D,0.343,0.245,0.412,A,0.3259490506580094,0.2825319730414078,0.3915189763005827,A,0.16699999999999998,0.10898700325917487,0.0655699256425733,True
420583813,2026-08-24,Serie A,Atalanta,Sassuolo,2-1,H,0.554,0.214,0.232,H,0.5284519174301339,0.2502469185919039,0.2213011639779622,H,0.3400000000000001,0.27820499883822997,0.3071507534521717,False
420583812,2026-08-24,Serie A,Torino,AC Milan,1-2,A,0.361,0.272,0.367,A,0.3420524080602902,0.3102101023050102,0.3477374896346995,A,0.09499999999999997,0.0375273873296893,0.005685081574409334,False
420583819,2026-08-24,La Liga,Elche,FC Barcelona,0-5,A,0.248,0.216,0.536,A,0.2365023542482036,0.2523473962476142,0.5111502495041821,A,0.32000000000000006,0.2588028532565679,0.2746478952559785,False
