policy,n_matches,accuracy,baseline_accuracy,accuracy_delta,net_correct_delta,draw_predictions,correct_draws,draw_recall,draw_precision,draw_f1,macro_f1,balanced_accuracy,home_precision,home_recall,away_precision,away_recall,decisions_changed,rescued_draws,damaged_wins,false_draw_flips,split
A_standard_argmax,1826,52.30010952902519,52.30010952902519,0.0,0,0,0,0.0,0.0,0.0,0.39367591012100794,46.030729833546744,53.51257588898526,79.00128040973111,50.22288261515602,59.09090909090909,0,0,0,0,Fold 1 (2021/22)
B_win_margin_gate,1826,51.91675794085433,52.30010952902519,-0.3833515881708607,-7,29,6,1.2684989429175475,20.689655172413794,2.3904382470119523,0.399524699305758,45.78955546037105,53.64354697102721,78.23303457106275,50.30395136778115,57.86713286713287,29,6,13,23,Fold 1 (2021/22)
C_calibrated_draw_thresh,1826,52.08105147864184,52.30010952902519,-0.21905805038335302,-4,136,48,10.14799154334038,35.294117647058826,15.763546798029555,0.4386687298942138,46.61701165959273,54.62794918330308,77.08066581306018,51.19047619047619,52.62237762237763,136,48,52,88,Fold 1 (2021/22)
D_draw_and_win_parity,1826,51.64293537787513,52.30010952902519,-0.6571741511500591,-12,195,60,12.684989429175475,30.76923076923077,17.964071856287426,0.445236417343784,46.531097464605494,55.169172932330824,75.16005121638925,52.20458553791887,51.74825174825175,195,60,72,135,Fold 1 (2021/22)
E_draw_and_score_space,1826,51.64293537787513,52.30010952902519,-0.6571741511500591,-12,140,44,9.30232558139535,31.428571428571427,14.35562805872757,0.434011653221898,46.28915957936593,54.73098330241187,75.54417413572342,50.82236842105263,54.02097902097902,140,44,56,96,Fold 1 (2021/22)
F_draw_and_low_goals,1826,51.97152245345017,52.30010952902519,-0.3285870755750224,-6,31,10,2.1141649048625792,32.25806451612903,3.968253968253969,0.40397989782808336,45.958997875145926,53.621908127208485,77.72087067861716,50.075414781297134,58.04195804195804,31,10,16,21,Fold 1 (2021/22)
G_draw_and_elo_parity,1826,49.17853231106243,52.30010952902519,-3.121577217962759,-57,399,114,24.101479915433405,28.57142857142857,26.146788990825687,0.44190862694496785,44.69212139536411,55.24809160305344,74.13572343149808,54.089709762532976,35.83916083916084,399,114,171,285,Fold 1 (2021/22)
H_draw_confidence_score,1826,52.30010952902519,52.30010952902519,0.0,0,0,0,0.0,0.0,0.0,0.39367591012100794,46.030729833546744,53.51257588898526,79.00128040973111,50.22288261515602,59.09090909090909,0,0,0,0,Fold 1 (2021/22)
I_selective_draw_gate,1826,51.80722891566265,52.30010952902519,-0.4928806133625443,-9,40,10,2.1141649048625792,25.0,3.898635477582846,0.4028895473899558,45.72179376470238,53.64354697102721,78.23303457106275,50.23183925811438,56.81818181818182,40,10,19,30,Fold 1 (2021/22)
J_platt_calibrated_argmax,1826,52.354874041621024,52.30010952902519,0.05476451259583115,1,6,3,0.6342494714587738,50.0,1.2526096033402923,0.3976665422088999,46.141190941387464,53.65853658536586,78.87323943661971,50.148809523809526,58.91608391608392,6,3,2,3,Fold 1 (2021/22)
