fixture_id,scheduled_kickoff,league,home_team,away_team,v4_p_H,v4_p_D,v4_p_A,v4_decision,candidate_p_H,candidate_p_D,candidate_p_A,candidate_decision,v4_goal_pred,candidate_goal_pred,draw_risk_tier,prediction_timestamp
420592944,2026-08-29T16:30:00.000000Z,Bundesliga,Borussia Dortmund,Hamburger SV,0.627,0.183,0.19,H,0.6006,0.2174,0.182,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420592952,2026-08-29T17:00:00.000000Z,La Liga,Real Sociedad,Espanyol,0.463,0.242,0.295,H,0.4401,0.2794,0.2804,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420592997,2026-08-29T18:45:00.000000Z,Ligue 1,Lorient,Troyes,0.619,0.195,0.186,H,0.592,0.2302,0.1779,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420592999,2026-08-29T18:45:00.000000Z,Ligue 1,Auxerre,Angers SCO,0.525,0.245,0.23,H,0.4989,0.2825,0.2186,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420592998,2026-08-29T18:45:00.000000Z,Ligue 1,Brest,Toulouse,0.397,0.262,0.341,H,0.3766,0.3,0.3234,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420592995,2026-08-29T18:45:00.000000Z,Serie A,Juventus,Parma,0.674,0.175,0.152,H,0.6458,0.2086,0.1456,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420592996,2026-08-29T18:45:00.000000Z,Ligue 1,Olympique Lyonnais,Le Havre,0.559,0.207,0.233,H,0.5342,0.2431,0.2227,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420593006,2026-08-29T19:30:00.000000Z,La Liga,Sevilla,Atlético de Madrid,0.372,0.264,0.365,H,0.3524,0.3018,0.3458,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420593587,2026-08-30T13:00:00.000000Z,Premier League,Chelsea,Brighton & Hove Albion,0.356,0.26,0.384,A,0.3377,0.298,0.3643,A,1-2,1-2,MEDIUM,2026-08-24T11:51:20.207460+00:00
420593586,2026-08-30T13:00:00.000000Z,Premier League,Leeds United,Brentford,0.444,0.26,0.296,H,0.4212,0.298,0.2808,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
