dataset,home_goal_mae,away_goal_mae,total_goal_mae,home_goal_rmse,away_goal_rmse,exact_score_accuracy_pct,btts_accuracy_pct,over_25_accuracy_pct,over_15_accuracy_pct
"Historical Training Era (N=8,983)",0.9572,0.867,1.3206,1.2171,1.1027,13.25,53.4,55.47,77.45
"Untouched Holdout Season (N=1,751)",0.9544,0.8539,1.2972,1.178,1.0731,12.68,53.23,54.31,76.58
