dataset,accuracy_pct,log_loss,brier_score,home_precision_pct,draw_precision_pct,away_precision_pct,home_recall_pct,draw_recall_pct,away_recall_pct,home_f1_pct,draw_f1_pct,away_f1_pct,macro_f1_pct,mean_calibration_ece,home_ece,draw_ece,away_ece
"Historical Training Era (N=8,983)",52.77,0.9916,0.5905,53.67,0.0,51.17,80.31,0.0,57.9,64.34,0.0,54.33,39.56,0.0241,0.0212,0.0239,0.0272
"Untouched Holdout Season (N=1,751)",51.97,0.9921,0.5907,54.48,0.0,47.56,78.86,0.0,56.45,64.44,0.0,51.62,38.69,0.0266,0.0232,0.0261,0.0306
