arm,accuracy_pct,correct,total,log_loss,brier_score,rps,macro_f1,draw_precision_pct,draw_recall_pct,draw_f1,draw_ece,ece_by_class,sharpness,mean_entropy,metrics_by_class,mean_probabilities
ARM_A_Pure_E10_Champion,53.12,3762,7082,0.98336,0.585881,0.199489,0.3973,0.0,0.0,0.0,0.0069,"{'H': np.float64(0.02), 'D': np.float64(0.0069), 'A': np.float64(0.021)}",0.5137,0.997,"{'H': {'predicted_count': 4465, 'actual_count': 3097, 'precision_pct': 55.03, 'recall_pct': 79.33, 'f1': 0.6498}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2617, 'actual_count': 2197, 'precision_pct': 49.87, 'recall_pct': 59.4, 'f1': 0.5422}}","{'H': 0.4271, 'D': 0.2492, 'A': 0.3237}"
ARM_B_Hard_Early_Season_Switch,53.15,3764,7082,0.983311,0.585848,0.199475,0.3976,0.0,0.0,0.0,0.007,"{'H': np.float64(0.0202), 'D': np.float64(0.007), 'A': np.float64(0.0215)}",0.5137,0.997,"{'H': {'predicted_count': 4462, 'actual_count': 3097, 'precision_pct': 55.06, 'recall_pct': 79.33, 'f1': 0.6501}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2620, 'actual_count': 2197, 'precision_pct': 49.89, 'recall_pct': 59.49, 'f1': 0.5427}}","{'H': 0.4271, 'D': 0.2492, 'A': 0.3237}"
ARM_C_Regime_Fixed_Weights,53.05,3757,7082,0.984311,0.586523,0.199786,0.397,0.0,0.0,0.0,0.0077,"{'H': np.float64(0.018), 'D': np.float64(0.0077), 'A': np.float64(0.0225)}",0.5162,0.9943,"{'H': {'predicted_count': 4442, 'actual_count': 3097, 'precision_pct': 55.09, 'recall_pct': 79.01, 'f1': 0.6492}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2640, 'actual_count': 2197, 'precision_pct': 49.62, 'recall_pct': 59.63, 'f1': 0.5417}}","{'H': 0.426, 'D': 0.2481, 'A': 0.3258}"
ARM_D_Continuous_Softmax_Gating,53.09,3760,7082,0.983813,0.586181,0.199625,0.397,0.0,0.0,0.0,0.0072,"{'H': np.float64(0.0176), 'D': np.float64(0.0072), 'A': np.float64(0.0209)}",0.5149,0.9957,"{'H': {'predicted_count': 4471, 'actual_count': 3097, 'precision_pct': 55.02, 'recall_pct': 79.43, 'f1': 0.6501}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2611, 'actual_count': 2197, 'precision_pct': 49.79, 'recall_pct': 59.17, 'f1': 0.5408}}","{'H': 0.4275, 'D': 0.2487, 'A': 0.3238}"
ARM_E_Calibration_Aware_Gating,53.05,3757,7082,0.984405,0.586586,0.199815,0.397,0.0,0.0,0.0,0.0076,"{'H': np.float64(0.0181), 'D': np.float64(0.0076), 'A': np.float64(0.0227)}",0.5161,0.9944,"{'H': {'predicted_count': 4443, 'actual_count': 3097, 'precision_pct': 55.08, 'recall_pct': 79.01, 'f1': 0.6491}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2639, 'actual_count': 2197, 'precision_pct': 49.64, 'recall_pct': 59.63, 'f1': 0.5418}}","{'H': 0.4259, 'D': 0.2481, 'A': 0.3259}"
ARM_F_Model_Disagreement_Gating,53.12,3762,7082,0.98336,0.585881,0.199489,0.3973,0.0,0.0,0.0,0.0069,"{'H': np.float64(0.02), 'D': np.float64(0.0069), 'A': np.float64(0.021)}",0.5137,0.997,"{'H': {'predicted_count': 4465, 'actual_count': 3097, 'precision_pct': 55.03, 'recall_pct': 79.33, 'f1': 0.6498}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2617, 'actual_count': 2197, 'precision_pct': 49.87, 'recall_pct': 59.4, 'f1': 0.5422}}","{'H': 0.4271, 'D': 0.2492, 'A': 0.3237}"
ARM_G_Data_Driven_Regime_Discovery,53.05,3757,7082,0.984284,0.586513,0.199786,0.3969,0.0,0.0,0.0,0.0076,"{'H': np.float64(0.0179), 'D': np.float64(0.0076), 'A': np.float64(0.022)}",0.5157,0.9953,"{'H': {'predicted_count': 4445, 'actual_count': 3097, 'precision_pct': 55.07, 'recall_pct': 79.04, 'f1': 0.6492}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2637, 'actual_count': 2197, 'precision_pct': 49.64, 'recall_pct': 59.58, 'f1': 0.5416}}","{'H': 0.426, 'D': 0.2484, 'A': 0.3255}"
ARM_H_Best_Causal_Mixture_Of_Experts,53.15,3764,7082,0.983324,0.585856,0.199479,0.3976,0.0,0.0,0.0,0.007,"{'H': np.float64(0.0202), 'D': np.float64(0.007), 'A': np.float64(0.0214)}",0.5137,0.997,"{'H': {'predicted_count': 4462, 'actual_count': 3097, 'precision_pct': 55.06, 'recall_pct': 79.33, 'f1': 0.6501}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2620, 'actual_count': 2197, 'precision_pct': 49.89, 'recall_pct': 59.49, 'f1': 0.5427}}","{'H': 0.4271, 'D': 0.2492, 'A': 0.3237}"
