fixture_id,home_team,away_team,v4_p_H,v4_p_D,v4_p_A,v4_decision,calibrated_p_H,calibrated_p_D,calibrated_p_A,calibrated_decision,draw_delta,decision_changed,reference_p_D,abs_error_vs_ref
342254747,Liverpool,AFC Bournemouth,0.5910778580273358,0.18902073755652987,0.21990140441613437,H,0.5657349991349581,0.22379201638829246,0.21047298447674959,H,0.03477127883176259,False,0.223792,1.6388292473079602e-08
342863654,Aston Villa,Newcastle United,0.3667875317760399,0.23083497566733194,0.4023774925566281,A,0.3491361081508989,0.2678505678179065,0.38301332403119454,A,0.03701559215057457,False,0.267851,4.3218209350159853e-07
342863842,Brighton & Hove Albion,Fulham,0.4902172055514218,0.23099435562022239,0.2787884388283559,H,0.4666167988805889,0.2680164057114955,0.2653667954079157,H,0.0370220500912731,False,0.268016,4.0571149551027474e-07
342863843,Sunderland,West Ham United,0.44244771810333217,0.25269186637346963,0.3048604155231982,H,0.4200887863507213,0.2904568064426695,0.28945440720660914,H,0.03776494006919989,False,0.290457,1.9355733049675194e-07
342863844,Tottenham Hotspur,Burnley,0.4641054034376323,0.21821981800341927,0.31767477855894843,H,0.44246323909529267,0.2546757934198483,0.3028609674848591,H,0.03645597541642903,False,0.254676,2.0658015170704758e-07
342863998,Deportivo Alavés,Levante,0.4368495089131047,0.2558248966843606,0.30732559440253476,H,0.41463027546076064,0.2936754608091368,0.29169426373010265,H,0.03785056412477622,False,0.293675,4.608091367930278e-07
342864234,Wolverhampton Wanderers,Manchester City,0.27503309451711483,0.2344522192275891,0.49051468625529604,A,0.26168342271591005,0.27161069878946026,0.4667058784946298,A,0.037158479561871155,False,0.271611,3.0121053973264367e-07
342864255,Mallorca,FC Barcelona,0.1364671387456539,0.1637746033441448,0.6997582579102014,A,0.13110939823859508,0.19660506144471868,0.6722855403166863,A,0.03283045810057389,False,0.196605,6.144471867419732e-08
342864289,Valencia,Real Sociedad,0.4145116855141245,0.27482674718188743,0.3106615673039881,H,0.3926426302990787,0.31308587101499175,0.2942714986859296,H,0.038259123833104314,False,0.313086,1.289850082297761e-07
343465726,Nottingham Forest,Brentford,0.4162066396246494,0.2508916604317052,0.3329016999436454,H,0.3952530089592981,0.2886049931401992,0.3161419979005028,H,0.03771333270849403,False,0.288605,6.859800782965664e-09
343465727,Chelsea,Crystal Palace,0.47462216244174876,0.242430572351037,0.28294726520721436,H,0.4511614845331255,0.27987739582859356,0.26896111963828095,H,0.03744682347755657,False,0.279877,3.9582859356901423e-07
343465728,Angers SCO,Paris,0.29669565446629564,0.2823886877686136,0.42091565776509077,A,0.28083132593536875,0.3207593933835202,0.3984092806811111,A,0.03837070561490663,False,0.320759,3.933835202030167e-07
343465729,Monaco,Le Havre,0.6280892396606339,0.19165037134053894,0.18026038899882718,H,0.6009356902048408,0.22659693662676536,0.17246737316839383,H,0.034946565286226416,False,0.226597,6.337323463223576e-08
343465730,Auxerre,Lorient,0.4440687167521667,0.24232237106762303,0.3136089121802103,H,0.4221235864438629,0.27976552720844916,0.29811088634768795,H,0.037443156140826134,False,0.279766,4.727915508540015e-07
343465731,Metz,Strasbourg,0.2935499058992023,0.2606172866572118,0.44583280744358583,A,0.27847450698571524,0.2985886473334657,0.4229368456808191,A,0.037971360676253896,False,0.298589,3.526665343089874e-07
343465732,Nice,Toulouse,0.5174830639255684,0.23233290784915914,0.2501840282252724,H,0.49249040149071793,0.2694086033336183,0.23810099517566385,H,0.03707569548445919,False,0.269409,3.9666638168567303e-07
343465733,Lens,Olympique Lyonnais,0.41050228568430197,0.2751232806341349,0.31437443368156315,H,0.38883312058487257,0.31338731437145634,0.29777956504367115,H,0.03826403373732146,False,0.313387,3.1437145631141306e-07
343465734,Brest,LOSC Lille,0.35687799064803194,0.28672984583618216,0.3563921635157858,H,0.3376538441631278,0.32515196848391575,0.3371941873529564,H,0.03842212264773359,False,0.325152,3.151608424234453e-08
343465735,Rennes,Olympique Marseille,0.32560463957295704,0.2612236199081453,0.4131717405188977,A,0.3088629769388622,0.299209395951623,0.3919276271095148,A,0.03798577604347769,False,0.299209,3.959516229889992e-07
343465842,Celta de Vigo,Getafe,0.5285955487619944,0.23529541420837907,0.23610903702962655,H,0.5028878023822693,0.2724861011011954,0.22462609651653537,H,0.03719068689281635,False,0.272486,1.0110119541550944e-07
343465921,Manchester United,Arsenal,0.3218916883713838,0.24785116735282967,0.43025714427578654,A,0.30579081479275966,0.2854733045631251,0.4087358806441153,A,0.03762213721029542,False,0.285473,3.045631251086256e-07
343465941,Athletic Club,Sevilla,0.5007771678939539,0.2338629861887701,0.26535984591727607,H,0.4765038019486717,0.27099871300050804,0.2524974850508203,H,0.037135726811737935,False,0.270999,2.869994919496577e-07
343465961,Nantes,Paris Saint Germain,0.1939804833194641,0.1971770962726973,0.6088424204078385,A,0.18545136302810886,0.23247638515666427,0.5820722518152269,A,0.03529928888396697,False,0.232476,3.8515666428429185e-07
343465962,Girona,Rayo Vallecano,0.36108739019483216,0.26680149126999425,0.37211111853517354,A,0.3423191964633197,0.30491085767039905,0.35276994586628124,A,0.0381093664004048,False,0.304911,1.4232960093840674e-07
343465963,Villarreal,Real Oviedo,0.5026223336106601,0.21605489665173988,0.28132276973759995,H,0.47931664372510263,0.2524050153078052,0.2682783409670923,H,0.0363501186560653,False,0.252405,1.530780519010122e-08
343465965,Espanyol,Atlético de Madrid,0.24574087583099255,0.23370269585383407,0.5205564283151735,A,0.23383396143535554,0.2708321981038015,0.495333840460843,A,0.03712950224996742,False,0.270832,1.9810380147422535e-07
344184009,Leeds United,Everton,0.34078610513814556,0.2612309456463737,0.3979829492154808,A,0.3232636012616479,0.29921689467296436,0.37751950406538787,A,0.03798594902659064,False,0.299217,1.0532703564880563e-07
344184010,Elche,Real Betis,0.32187294197439525,0.25932433917582703,0.41880271884977766,A,0.30538549489798433,0.29726431227116024,0.39735019283085554,A,0.0379399730953332,False,0.297264,3.122711602632222e-07
345052043,Real Madrid,Osasuna,0.6608107158780095,0.16800994391919205,0.17117934020279846,H,0.634449505322197,0.20119987943582068,0.1643506152419822,H,0.03318993551662863,False,0.2012,1.205641793067258e-07
347217733,FC Bayern München,RB Leipzig,0.6862315325869305,0.16423136489323628,0.1495371025198332,H,0.6592427606019199,0.19710127549044795,0.14365596390763213,H,0.03286991059721167,False,0.197101,2.754904479540521e-07
347217747,West Ham United,Chelsea,0.302438692519982,0.27172874012140924,0.4258325673586088,A,0.28657272718757654,0.30993392632144395,0.4034933464909795,A,0.03820518620003471,False,0.309934,7.367855603401807e-08
347217750,Real Betis,Deportivo Alavés,0.5042239420970609,0.23969742246614806,0.25607863543679105,H,0.47945242329400056,0.27704957499794836,0.2434980017080511,H,0.0373521525318003,False,0.27705,4.250020516627373e-07
347953543,Manchester City,Tottenham Hotspur,0.7321794910482007,0.13996456270487814,0.1278559462469213,H,0.7061857018262291,0.1704974855111028,0.12331681266266822,H,0.03053292280622466,False,0.170497,4.8551110279349e-07
347953714,Eintracht Frankfurt,Werder Bremen,0.47713039858072254,0.22547488314561023,0.2973947182736673,H,0.45446691833849384,0.2622644793129347,0.28326860234857154,H,0.03678959616732444,False,0.262264,4.793129346758462e-07
347953715,Heidenheim,VfL Wolfsburg,0.3802069752278843,0.2613725682151543,0.3584204565569613,H,0.36065206633162333,0.2993618558345482,0.3399860778338284,H,0.03798928761939391,False,0.299362,1.4416545179862794e-07
347953716,FC Union Berlin,VfB Stuttgart,0.28665797959437705,0.24598758968828094,0.467354430717342,A,0.2723771283243878,0.28355130622121855,0.4440715654543937,A,0.03756371653293761,False,0.283551,3.062212185489521e-07
347953717,Bayer 04 Leverkusen,TSG Hoffenheim,0.6093338557359962,0.1739056452874289,0.21676049897657498,H,0.5845007825851056,0.20757267584383232,0.20792654157106194,H,0.03366703055640341,False,0.207573,3.2415616768588507e-07
347953718,SC Freiburg,FC Augsburg,0.4793784679816276,0.24119500516910414,0.2794265268492684,H,0.45574797445161236,0.2785995565174178,0.26565246903096995,H,0.037404551348313664,False,0.2786,4.434825822130506e-07
347953747,AFC Bournemouth,Wolverhampton Wanderers,0.47107057190478846,0.24054220816977478,0.28838721992543676,H,0.44788363778502827,0.2779240758476929,0.2741922863672789,H,0.037381867677918124,False,0.277924,7.584769290414073e-08
347953748,Brentford,Aston Villa,0.38841265645017886,0.272925737749984,0.338661605799837,H,0.3679915029755729,0.31115233734779596,0.320856159676631,H,0.03822659959781194,False,0.311152,3.373477959756066e-07
347953749,Burnley,Sunderland,0.3062569627294658,0.25281784486192227,0.440925192408612,A,0.2907763177838181,0.29058633035308845,0.41863735186309353,A,0.03776848549116618,False,0.290586,3.3035308844020506e-07
347953750,Newcastle United,Liverpool,0.39880454287028555,0.25599427009776976,0.34520118703194475,H,0.37851335125361835,0.2938493123715857,0.32763733637479603,H,0.03785504227381592,False,0.293849,3.1237158565344814e-07
347954243,Olympique Marseille,Paris,0.5742384419354504,0.21167041741217016,0.21409114065237944,H,0.5479228849199229,0.24779710375468614,0.20428001132539106,H,0.03612668634251598,False,0.247797,1.0375468614820527e-07
347954246,Mallorca,Celta de Vigo,0.2643541240189612,0.26064231238844005,0.47500356359259877,A,0.2507774151323336,0.2986142718766617,0.45060831299100473,A,0.03797195948822163,False,0.298614,2.7187666168382307e-07
347954613,Genoa,Lecce,0.4321381560121685,0.26269181935671976,0.30517002463111165,H,0.40985460911440225,0.30071170071384906,0.2894336901717487,H,0.03801988135712925,False,0.300712,2.9928615091767696e-07
347954614,Sassuolo,Napoli,0.25823414219317714,0.2606175169467336,0.48114834086008934,A,0.2449723955326482,0.2985888831348267,0.4564387213325251,A,0.0379713661880931,False,0.298589,1.1686517331632729e-07
347954615,Arsenal,Leeds United,0.7183736311171629,0.14021631006031846,0.14141005882251878,H,0.6928400522628241,0.1707761102726522,0.13638383746452382,H,0.030559800212333732,False,0.170776,1.1027265217622428e-07
347954616,St. Pauli,Borussia Dortmund,0.28659856547458484,0.24373095702735817,0.46967047749805707,A,0.27239106926022144,0.2812213385555479,0.44638759218423074,A,0.037490381528189703,False,0.281221,3.385555478740976e-07
347954621,Nice,Auxerre,0.5441585147168632,0.22509469780050292,0.23074678748263397,H,0.5183356266102007,0.26186760931576025,0.21979676407403909,H,0.03677291151525733,False,0.261868,3.9068423973720456e-07
347954642,Atlético de Madrid,Elche,0.6674705230787078,0.17016429982732173,0.1623651770939705,H,0.6406317832372149,0.2035316826525425,0.1558365341102426,H,0.03336738282522078,False,0.203532,3.173474574791335e-07
