Fold Name,Validation Season,Matches (N),Actual Draws,V4.0 Draw Brier,Refined Draw Brier,Draw Brier Delta,V4.0 Draw ECE,Refined Draw ECE,Draw ECE Delta,V4.0 Draw AUC,Refined Draw AUC,Draw AUC Delta,V4.0 MC LogLoss,Refined MC LogLoss,V4.0 Accuracy (%),Refined Accuracy (%)
Fold 1 (2020/21 -> 2021/22),2021/2022,1826,473,0.190202,0.189783,-0.000419,0.0273,0.0235,-0.0038,0.5715,0.5767,0.0052,0.998665,0.997974,52.3,52.19
Fold 2 (2020-22 -> 2022/23),2022/2023,1827,443,0.183118,0.18351,0.000392,0.0172,0.0157,-0.0015,0.5382,0.5367,-0.0015,0.991311,0.991776,52.93,53.04
Fold 3 (2020-23 -> 2023/24),2023/2024,1752,463,0.193771,0.192545,-0.001226,0.0407,0.0223,-0.0184,0.5597,0.5653,0.0056,0.979885,0.976531,54.05,54.05
Fold 4 (2020-24 -> 2024/25),2024/2025,1752,437,0.186417,0.18565,-0.000767,0.0263,0.0032,-0.0231,0.5539,0.5549,0.001,0.982385,0.979843,53.54,53.54
Fold 5 (2020-25 -> 2025/26 Holdout),2025/2026,1751,445,0.18787,0.187632,-0.000238,0.0261,0.003,-0.0231,0.5679,0.5617,-0.0062,0.992146,0.990914,51.97,51.97
